segment_id,frame_id,host_ns,analysis_time_s,valid,corner_count,centroid_x_px,centroid_y_px,shift_x_px,shift_y_px,rotation_deg,residual_px,scale,r_rms_px,quality,mm_per_pixel,mean_brightness,blur_variance,drop_before
static-all-ana-d0-r01-hold-hold,710,2555924842981400,0.128564,1,88,239.5243,179.5216,0.0290,0.0924,-0.01419,0.0320,1.0000733,62.4847,0.9609,0.187401,131.905,541.960,0
static-all-ana-d0-r01-hold-hold,711,2555924850543980,0.136126,1,88,239.4415,179.5236,-0.0539,0.0944,-0.00569,0.0357,1.0000391,62.4826,0.9563,0.187401,131.901,429.012,0
static-all-ana-d0-r01-hold-hold,712,2555924858106560,0.143689,1,88,238.5418,179.5244,-0.9535,0.0952,-0.01034,0.0730,0.9999278,62.4756,0.9132,0.187401,131.907,460.044,0
static-all-ana-d0-r01-hold-hold,713,2555924865669140,0.151252,1,88,239.4741,179.4678,-0.0212,0.0386,-0.00315,0.0366,1.0000349,62.4823,0.9553,0.187401,131.911,489.953,0
static-all-ana-d0-r01-hold-hold,714,2555924873231720,0.158814,1,88,239.4682,178.9964,-0.0271,-0.4328,-0.00410,0.0452,0.9999743,62.4785,0.9453,0.187401,131.902,398.741,0
static-all-ana-d0-r01-hold-hold,715,2555924880794300,0.166377,1,88,239.9632,179.4764,0.4678,0.0472,-0.00400,0.0501,1.0000208,62.4814,0.9393,0.187401,131.899,396.047,0
static-all-ana-d0-r01-hold-hold,716,2555924888356880,0.173939,1,88,239.4510,178.9876,-0.0443,-0.4416,0.00799,0.0481,0.9999725,62.4784,0.9418,0.187401,131.896,370.604,0
static-all-ana-d0-r01-hold-hold,717,2555924895919460,0.181502,1,88,239.5198,178.6788,0.0245,-0.7504,0.06211,0.1026,1.0000045,62.4805,0.8796,0.187401,131.899,383.901,0
static-all-ana-d0-r01-hold-hold,718,2555924903482040,0.189065,1,88,239.4507,180.4908,-0.0446,1.0616,-0.00733,0.0682,1.0000331,62.4822,0.9183,0.187401,131.897,511.163,0
static-all-ana-d0-r01-hold-hold,719,2555924911044620,0.196627,1,88,238.9101,179.5402,-0.5853,0.1110,0.00964,0.0883,1.0000391,62.4826,0.8954,0.187401,131.907,372.519,0
static-all-ana-d0-r01-hold-hold,720,2555924918607200,0.204190,1,88,238.5118,179.5384,-0.9835,0.1092,-0.00550,0.0723,0.9999663,62.4780,0.9137,0.187401,131.898,562.692,0
static-all-ana-d0-r01-hold-hold,721,2555924926169780,0.211752,1,88,238.9575,178.5227,-0.5378,-0.9065,0.02195,0.0949,0.9998833,62.4729,0.8887,0.187401,131.899,429.362,0
static-all-ana-d0-r01-hold-hold,722,2555924933732360,0.219315,1,88,239.4717,179.5317,-0.0236,0.1025,-0.00844,0.0339,1.0000763,62.4849,0.9586,0.187401,131.902,545.608,0
static-all-ana-d0-r01-hold-hold,723,2555924941294940,0.226877,1,88,238.5180,179.9141,-0.9773,0.4849,0.03912,0.0994,0.9998939,62.4736,0.8836,0.187401,131.901,406.900,0
static-all-ana-d0-r01-hold-hold,724,2555924948857520,0.234440,1,88,239.4694,179.5467,-0.0259,0.1175,-0.00903,0.0334,1.0000510,62.4833,0.9591,0.187401,131.902,444.168,0
static-all-ana-d0-r01-hold-hold,725,2555924956420100,0.242003,1,88,238.5148,179.4507,-0.9806,0.0215,0.00000,0.0742,0.9999549,62.4773,0.9116,0.187401,131.907,466.021,0
static-all-ana-d0-r01-hold-hold,726,2555924963982680,0.249565,1,88,239.4526,178.4998,-0.0427,-0.9294,-0.00063,0.0647,0.9999286,62.4757,0.9227,0.187401,131.906,539.812,0
static-all-ana-d0-r01-hold-hold,727,2555924971545260,0.257128,1,88,239.4700,178.4906,-0.0253,-0.9386,0.00455,0.0680,0.9999838,62.4791,0.9186,0.187401,131.897,608.878,0
static-all-ana-d0-r01-hold-hold,728,2555924979107840,0.264690,1,88,239.4783,179.5298,-0.0171,0.1006,-0.00730,0.0336,1.0000410,62.4827,0.9588,0.187401,131.903,553.482,0
static-all-ana-d0-r01-hold-hold,729,2555924986670420,0.272253,1,88,239.5260,179.4590,0.0307,0.0298,0.00002,0.0362,1.0000110,62.4808,0.9558,0.187401,131.905,402.976,0
static-all-ana-d0-r01-hold-hold,730,2555924994233000,0.279815,1,88,238.6043,179.4882,-0.8911,0.0590,-0.04635,0.1025,0.9999249,62.4755,0.8801,0.187401,131.903,480.224,0
static-all-ana-d0-r01-hold-hold,731,2555925001795580,0.287378,1,88,239.5078,179.4624,0.0125,0.0332,-0.00739,0.0310,1.0000350,62.4823,0.9620,0.187401,131.904,531.093,0
static-all-ana-d0-r01-hold-hold,732,2555925009358160,0.294941,1,88,239.4990,178.6828,0.0036,-0.7464,-0.09398,0.1038,0.9999576,62.4775,0.8785,0.187401,131.905,501.718,0
static-all-ana-d0-r01-hold-hold,733,2555925016920740,0.302503,1,88,239.4840,179.5346,-0.0114,0.1054,-0.01518,0.0327,0.9999762,62.4786,0.9602,0.187401,131.897,571.787,0
static-all-ana-d0-r01-hold-hold,734,2555925024483320,0.310066,1,88,239.5127,179.5678,0.0174,0.1386,-0.01698,0.0427,1.0000081,62.4806,0.9480,0.187401,131.900,442.913,0
static-all-ana-d0-r01-hold-hold,735,2555925032045900,0.317628,1,88,239.4773,178.5501,-0.0180,-0.8791,-0.01120,0.0694,0.9999508,62.4771,0.9171,0.187401,131.904,474.048,0
static-all-ana-d0-r01-hold-hold,736,2555925039608480,0.325191,1,88,238.5033,179.5618,-0.9921,0.1326,-0.00231,0.0771,0.9998521,62.4709,0.9091,0.187401,131.901,505.899,0
static-all-ana-d0-r01-hold-hold,737,2555925047171060,0.332754,1,88,239.5142,179.5543,0.0189,0.1251,-0.00875,0.0372,1.0000261,62.4817,0.9546,0.187401,131.902,445.224,0
static-all-ana-d0-r01-hold-hold,738,2555925054733640,0.340316,1,88,239.4488,180.5133,-0.0466,1.0841,-0.00402,0.0704,1.0000145,62.4810,0.9157,0.187401,131.903,498.364,0
static-all-ana-d0-r01-hold-hold,739,2555925062296220,0.347879,1,88,239.5072,179.5273,0.0118,0.0981,-0.00339,0.0310,1.0000005,62.4801,0.9621,0.187401,131.898,590.243,0
static-all-ana-d0-r01-hold-hold,740,2555925069858800,0.355441,1,88,238.5217,179.1140,-0.9736,-0.3152,-0.09348,0.1218,0.9998328,62.4698,0.8595,0.187401,131.911,394.322,0
static-all-ana-d0-r01-hold-hold,741,2555925077421380,0.363004,1,88,239.5073,178.5598,0.0120,-0.8694,-0.01102,0.0755,0.9999712,62.4784,0.9101,0.187401,131.903,453.041,0
static-all-ana-d0-r01-hold-hold,742,2555925084983960,0.370566,1,88,239.5163,179.4655,0.0210,0.0363,-0.00977,0.0359,1.0000128,62.4809,0.9562,0.187401,131.899,501.245,0
static-all-ana-d0-r01-hold-hold,743,2555925092546540,0.378129,1,88,239.4752,179.5503,-0.0202,0.1211,-0.01159,0.0318,1.0000089,62.4807,0.9610,0.187401,131.906,478.190,0
static-all-ana-d0-r01-hold-hold,744,2555925100109120,0.385692,1,88,239.9189,180.0863,0.4236,0.6571,-0.08893,0.0857,0.9998383,62.4701,0.8994,0.187401,131.890,366.650,0
static-all-ana-d0-r01-hold-hold,745,2555925107671700,0.393254,1,88,239.4568,179.4924,-0.0385,0.0632,0.00016,0.0353,1.0000124,62.4809,0.9569,0.187401,131.888,531.204,0
static-all-ana-d0-r01-hold-hold,746,2555925115234280,0.400817,1,88,239.4785,178.5369,-0.0168,-0.8923,-0.00228,0.0704,0.9999443,62.4767,0.9160,0.187401,131.899,528.468,0
static-all-ana-d0-r01-hold-hold,747,2555925122796860,0.408379,1,88,239.4454,179.5044,-0.0500,0.0752,-0.00771,0.0354,1.0000421,62.4827,0.9567,0.187401,131.897,531.915,0
static-all-ana-d0-r01-hold-hold,748,2555925130359440,0.415942,1,88,238.5253,179.4578,-0.9701,0.0286,0.00039,0.0746,0.9999611,62.4777,0.9111,0.187401,131.900,399.376,0
static-all-ana-d0-r01-hold-hold,749,2555925137922020,0.423504,1,88,238.5299,179.4770,-0.9655,0.0478,-0.00304,0.0716,0.9999406,62.4764,0.9147,0.187401,131.906,489.416,0
static-all-ana-d0-r01-hold-hold,750,2555925145484600,0.431067,1,88,239.5132,180.0117,0.0179,0.5825,0.00352,0.0491,1.0000332,62.4822,0.9405,0.187401,131.899,405.871,0
static-all-ana-d0-r01-hold-hold,751,2555925153047180,0.438630,1,88,239.4726,179.7687,-0.0227,0.3395,0.01575,0.0909,0.9999783,62.4788,0.8927,0.187401,131.902,447.825,0
static-all-ana-d0-r01-hold-hold,752,2555925160609760,0.446192,1,88,239.4810,179.4687,-0.0143,0.0395,-0.00602,0.0366,0.9999777,62.4787,0.9555,0.187401,131.908,524.179,0
static-all-ana-d0-r01-hold-hold,753,2555925168172340,0.453755,1,88,239.5259,179.5158,0.0306,0.0866,-0.00536,0.0320,1.0000523,62.4834,0.9608,0.187401,131.906,558.098,0
static-all-ana-d0-r01-hold-hold,754,2555925175734920,0.461317,1,88,239.4744,179.4644,-0.0209,0.0352,-0.00394,0.0303,0.9999840,62.4791,0.9630,0.187401,131.894,478.814,0
static-all-ana-d0-r01-hold-hold,755,2555925183297500,0.468880,1,88,239.4649,179.4504,-0.0304,0.0212,-0.00347,0.0374,1.0000457,62.4830,0.9544,0.187401,131.897,409.878,0
static-all-ana-d0-r01-hold-hold,756,2555925190860080,0.476443,1,88,239.4914,179.4805,-0.0040,0.0513,-0.01735,0.0329,1.0000320,62.4821,0.9597,0.187401,131.903,629.582,0
static-all-ana-d0-r01-hold-hold,757,2555925198422660,0.484005,1,88,239.4995,179.4332,0.0042,0.0040,-0.02383,0.0481,0.9999184,62.4750,0.9423,0.187401,131.905,511.108,0
static-all-ana-d0-r01-hold-hold,758,2555925205985240,0.491568,1,88,239.5422,179.4916,0.0469,0.0624,-0.01448,0.0379,0.9999664,62.4780,0.9541,0.187401,131.903,505.234,0
static-all-ana-d0-r01-hold-hold,759,2555925213547820,0.499130,1,88,239.4769,179.5392,-0.0184,0.1100,-0.00279,0.0306,0.9999923,62.4796,0.9626,0.187401,131.894,485.180,0
static-all-ana-d0-r01-hold-hold,760,2555925221110400,0.506693,1,88,239.5220,179.5294,0.0267,0.1002,0.00147,0.0362,1.0000026,62.4803,0.9558,0.187401,131.909,509.550,0
static-all-ana-d0-r01-hold-hold,761,2555925228672980,0.514255,1,88,239.4525,179.4890,-0.0428,0.0598,-0.00887,0.0332,1.0000157,62.4811,0.9593,0.187401,131.913,519.231,0
static-all-ana-d0-r01-hold-hold,762,2555925236235560,0.521818,1,88,239.4667,179.5423,-0.0286,0.1131,-0.00235,0.0355,0.9999794,62.4788,0.9568,0.187401,131.910,432.597,0
static-all-ana-d0-r01-hold-hold,763,2555925243798140,0.529381,1,88,238.6260,178.6147,-0.8693,-0.8145,-0.11104,0.1216,0.9998351,62.4699,0.8597,0.187401,131.903,371.890,0
static-all-ana-d0-r01-hold-hold,764,2555925251360720,0.536943,1,88,239.5210,179.4444,0.0256,0.0152,0.00491,0.0428,0.9999772,62.4787,0.9481,0.187401,131.905,403.321,0
static-all-ana-d0-r01-hold-hold,765,2555925258923300,0.544506,1,88,239.4584,179.5220,-0.0369,0.0928,-0.00942,0.0308,1.0000363,62.4824,0.9623,0.187401,131.904,482.037,0
static-all-ana-d0-r01-hold-hold,766,2555925266485880,0.552068,1,88,239.5085,179.4806,0.0132,0.0514,-0.00005,0.0352,1.0000111,62.4808,0.9570,0.187401,131.899,615.611,0
static-all-ana-d0-r01-hold-hold,767,2555925274048460,0.559631,1,88,239.4766,179.4626,-0.0187,0.0334,-0.01404,0.0343,0.9999880,62.4794,0.9582,0.187401,131.903,478.407,0
static-all-ana-d0-r01-hold-hold,768,2555925281611040,0.567194,1,88,239.5173,179.4680,0.0220,0.0388,-0.00460,0.0336,0.9999856,62.4792,0.9590,0.187401,131.899,472.080,0
static-all-ana-d0-r01-hold-hold,769,2555925289173620,0.574756,1,88,238.5863,179.7701,-0.9090,0.3409,-0.15852,0.1104,0.9999286,62.4757,0.8714,0.187401,131.900,371.641,0
static-all-ana-d0-r01-hold-hold,770,2555925296736200,0.582319,1,88,239.5350,179.5215,0.0396,0.0923,-0.00728,0.0343,0.9999957,62.4798,0.9581,0.187401,131.901,469.483,0
static-all-ana-d0-r01-hold-hold,771,2555925304298780,0.589881,1,88,238.5148,179.1855,-0.9806,-0.2437,-0.04896,0.1217,0.9999565,62.4775,0.8590,0.187401,131.903,453.277,0
static-all-ana-d0-r01-hold-hold,772,2555925311861360,0.597444,1,88,239.4643,180.0023,-0.0310,0.5731,-0.04492,0.0683,0.9999856,62.4792,0.9183,0.187401,131.900,381.207,0
static-all-ana-d0-r01-hold-hold,773,2555925319423940,0.605006,1,88,239.4776,179.4655,-0.0177,0.0363,-0.01589,0.0345,0.9999607,62.4777,0.9582,0.187401,131.904,512.057,0
static-all-ana-d0-r01-hold-hold,774,2555925326986520,0.612569,1,88,239.5231,179.5024,0.0277,0.0732,-0.00277,0.0362,0.9999858,62.4792,0.9559,0.187401,131.905,639.667,0
static-all-ana-d0-r01-hold-hold,775,2555925334549100,0.620132,1,88,239.5101,179.5374,0.0147,0.1082,-0.00781,0.0368,1.0000086,62.4807,0.9551,0.187401,131.895,499.181,0
static-all-ana-d0-r01-hold-hold,776,2555925342111680,0.627694,1,88,239.4616,179.5219,-0.0337,0.0927,-0.00416,0.0335,1.0000076,62.4806,0.9590,0.187401,131.905,524.843,0
static-all-ana-d0-r01-hold-hold,777,2555925349674260,0.635257,1,88,239.3758,179.5249,-0.1196,0.0956,-0.04667,0.0833,1.0000327,62.4822,0.9012,0.187401,131.892,429.587,0
static-all-ana-d0-r01-hold-hold,778,2555925357236840,0.642819,1,88,239.4940,179.5341,-0.0014,0.1049,-0.01189,0.0362,0.9999943,62.4798,0.9559,0.187401,131.892,589.115,0
static-all-ana-d0-r01-hold-hold,779,2555925364799420,0.650382,1,88,239.5335,180.4848,0.0382,1.0556,0.00056,0.0682,0.9999989,62.4801,0.9184,0.187401,131.904,488.301,0
static-all-ana-d0-r01-hold-hold,780,2555925372362000,0.657944,1,88,239.5198,179.2881,0.0245,-0.1411,-0.11081,0.1102,1.0000315,62.4822,0.8713,0.187401,131.904,394.755,0
static-all-ana-d0-r01-hold-hold,781,2555925379924580,0.665507,1,88,239.5445,179.4823,0.0491,0.0531,0.00015,0.0365,0.9999881,62.4794,0.9556,0.187401,131.902,451.651,0
static-all-ana-d0-r01-hold-hold,782,2555925387487160,0.673070,1,88,238.9769,179.4783,-0.5184,0.0491,-0.00616,0.0469,0.9999730,62.4784,0.9433,0.187401,131.905,385.593,0
static-all-ana-d0-r01-hold-hold,783,2555925395049740,0.680632,1,88,239.4597,179.4952,-0.0356,0.0660,-0.00172,0.0357,1.0000060,62.4805,0.9564,0.187401,131.901,568.455,0
static-all-ana-d0-r01-hold-hold,784,2555925402612320,0.688195,1,88,239.4223,179.4733,-0.0730,0.0441,0.00824,0.0417,0.9999918,62.4796,0.9493,0.187401,131.913,395.519,0
static-all-ana-d0-r01-hold-hold,785,2555925410174900,0.695757,1,88,238.5477,179.4743,-0.9476,0.0451,-0.00050,0.0736,0.9999364,62.4762,0.9124,0.187401,131.895,410.188,0
static-all-ana-d0-r01-hold-hold,786,2555925417737480,0.703320,1,88,239.5218,179.5224,0.0265,0.0932,-0.00878,0.0346,0.9999895,62.4795,0.9578,0.187401,131.907,542.467,0
static-all-ana-d0-r01-hold-hold,787,2555925425300060,0.710883,1,88,238.5301,179.4883,-0.9652,0.0591,-0.00686,0.0690,0.9999038,62.4741,0.9179,0.187401,131.905,527.150,0
static-all-ana-d0-r01-hold-hold,788,2555925432862640,0.718445,1,88,239.5124,179.9783,0.0170,0.5491,-0.06315,0.0891,0.9999885,62.4794,0.8947,0.187401,131.899,443.212,0
static-all-ana-d0-r01-hold-hold,789,2555925440425220,0.726008,1,88,240.4760,179.2036,0.9806,-0.2256,-0.08845,0.1219,1.0000389,62.4827,0.8587,0.187401,131.912,441.251,0
static-all-ana-d0-r01-hold-hold,790,2555925447987800,0.733570,1,88,239.5028,178.6968,0.0075,-0.7324,0.02178,0.1140,0.9999759,62.4787,0.8672,0.187401,131.902,505.557,0
static-all-ana-d0-r01-hold-hold,791,2555925455550380,0.741133,1,88,239.4953,179.3661,0.0000,-0.0631,-0.09131,0.1156,0.9999994,62.4802,0.8655,0.187401,131.899,507.050,0
static-all-ana-d0-r01-hold-hold,792,2555925463112960,0.748695,1,88,240.4421,179.5078,0.9467,0.0786,0.00291,0.0728,0.9999914,62.4796,0.9130,0.187401,131.902,519.089,0
static-all-ana-d0-r01-hold-hold,793,2555925470675540,0.756258,1,88,238.5156,179.4695,-0.9797,0.0403,-0.00344,0.0691,0.9999311,62.4758,0.9176,0.187401,131.896,549.072,0
static-all-ana-d0-r01-hold-hold,794,2555925478238120,0.763821,1,88,238.9846,179.5154,-0.5108,0.0862,-0.00168,0.0461,0.9999685,62.4782,0.9442,0.187401,131.906,483.621,0
static-all-ana-d0-r01-hold-hold,795,2555925485800700,0.771383,1,88,239.4528,179.4907,-0.0425,0.0615,-0.00895,0.0354,1.0000042,62.4804,0.9568,0.187401,131.907,531.258,0
static-all-ana-d0-r01-hold-hold,796,2555925493363280,0.778946,1,88,240.4671,180.0580,0.9717,0.6288,-0.04758,0.0977,0.9999494,62.4770,0.8852,0.187401,131.894,395.545,0
static-all-ana-d0-r01-hold-hold,797,2555925500925860,0.786508,1,88,239.4823,179.5250,-0.0131,0.0958,-0.01163,0.0353,1.0000330,62.4822,0.9569,0.187401,131.897,617.506,0
static-all-ana-d0-r01-hold-hold,798,2555925508488440,0.794071,1,88,238.5413,179.5258,-0.9540,0.0966,-0.00374,0.0699,0.9999588,62.4776,0.9165,0.187401,131.898,440.563,0
static-all-ana-d0-r01-hold-hold,799,2555925516051020,0.801634,1,88,238.4857,178.5470,-1.0096,-0.8822,-0.01552,0.0937,0.9998576,62.4713,0.8902,0.187401,131.901,511.356,0
static-all-ana-d0-r01-hold-hold,800,2555925523613600,0.809196,1,88,239.4439,179.4820,-0.0514,0.0528,-0.01034,0.0327,1.0000122,62.4809,0.9600,0.187401,131.900,460.074,0
static-all-ana-d0-r01-hold-hold,801,2555925531176180,0.816759,1,88,240.4636,179.5438,0.9683,0.1146,-0.00114,0.0712,1.0000150,62.4811,0.9149,0.187401,131.905,402.640,0
static-all-ana-d0-r01-hold-hold,802,2555925538738760,0.824321,1,88,239.5328,179.5109,0.0375,0.0817,-0.00813,0.0324,1.0000124,62.4809,0.9603,0.187401,131.905,526.285,0
static-all-ana-d0-r01-hold-hold,803,2555925546301340,0.831884,1,88,240.4696,178.5098,0.9743,-0.9194,-0.00987,0.0933,0.9999582,62.4776,0.8901,0.187401,131.916,598.717,0
static-all-ana-d0-r01-hold-hold,804,2555925553863920,0.839446,1,88,239.5098,179.5520,0.0144,0.1228,-0.01447,0.0341,0.9999897,62.4795,0.9584,0.187401,131.904,503.905,0
static-all-ana-d0-r01-hold-hold,805,2555925561426500,0.847009,1,88,240.1659,179.5037,0.6706,0.0745,-0.06480,0.1152,0.9998309,62.4696,0.8666,0.187401,131.891,510.212,0
static-all-ana-d0-r01-hold-hold,806,2555925568989080,0.854572,1,88,240.4532,179.4868,0.9579,0.0576,0.00254,0.0685,0.9999712,62.4783,0.9180,0.187401,131.906,478.853,0
static-all-ana-d0-r01-hold-hold,807,2555925576551660,0.862134,1,88,239.5114,179.5407,0.0160,0.1115,-0.00364,0.0336,1.0000206,62.4814,0.9589,0.187401,131.910,516.800,0
static-all-ana-d0-r01-hold-hold,808,2555925584114240,0.869697,1,88,239.4742,179.4780,-0.0211,0.0488,-0.01520,0.0332,1.0000117,62.4808,0.9594,0.187401,131.904,573.926,0
static-all-ana-d0-r01-hold-hold,809,2555925591676820,0.877259,1,88,238.4697,178.9528,-1.0257,-0.4764,-0.00005,0.0891,0.9999173,62.4750,0.8949,0.187401,131.911,397.244,0
static-all-ana-d0-r01-hold-hold,810,2555925599239400,0.884822,1,88,239.4442,179.0019,-0.0511,-0.4273,-0.02042,0.0456,1.0000004,62.4801,0.9447,0.187401,131.905,369.671,0
static-all-ana-d0-r01-hold-hold,811,2555925606801980,0.892384,1,88,239.5083,179.5418,0.0130,0.1126,-0.01128,0.0343,0.9999990,62.4800,0.9582,0.187401,131.894,497.117,0
static-all-ana-d0-r01-hold-hold,812,2555925614364560,0.899947,1,88,239.4622,179.5108,-0.0331,0.0816,-0.00519,0.0354,0.9999907,62.4795,0.9568,0.187401,131.906,575.733,0
static-all-ana-d0-r01-hold-hold,813,2555925621927140,0.907510,1,88,239.5092,178.5804,0.0139,-0.8488,0.02380,0.0807,0.9999138,62.4748,0.9044,0.187401,131.896,469.504,0
static-all-ana-d0-r01-hold-hold,814,2555925629489720,0.915072,1,88,239.5038,179.4658,0.0085,0.0366,-0.00607,0.0334,1.0000424,62.4828,0.9591,0.187401,131.899,561.315,0
static-all-ana-d0-r01-hold-hold,815,2555925637052300,0.922635,1,88,239.9844,178.4869,0.4891,-0.9423,-0.01120,0.0753,0.9999636,62.4779,0.9103,0.187401,131.904,468.982,0
static-all-ana-d0-r01-hold-hold,816,2555925644614880,0.930197,1,88,240.4466,179.5365,0.9512,0.1073,-0.01413,0.0707,1.0000431,62.4828,0.9154,0.187401,131.905,386.761,0
static-all-ana-d0-r01-hold-hold,817,2555925652177460,0.937760,1,88,239.4756,179.6271,-0.0198,0.1979,-0.06034,0.0840,0.9999985,62.4801,0.9004,0.187401,131.908,449.394,0
static-all-ana-d0-r01-hold-hold,818,2555925659740040,0.945323,1,88,238.4916,179.6482,-1.0037,0.2190,-0.05208,0.1039,0.9999785,62.4789,0.8783,0.187401,131.889,511.272,0
static-all-ana-d0-r01-hold-hold,819,2555925667302620,0.952885,1,88,239.7950,179.4960,0.2996,0.0668,0.02623,0.0995,0.9998960,62.4737,0.8834,0.187401,131.889,508.066,0
static-all-ana-d0-r01-hold-hold,820,2555925674865200,0.960448,1,88,239.5363,179.5210,0.0410,0.0918,-0.00990,0.0333,1.0000309,62.4820,0.9593,0.187401,131.904,496.748,0
static-all-ana-d0-r01-hold-hold,821,2555925682427780,0.968010,1,88,239.1261,179.5149,-0.3692,0.0857,-0.04129,0.0938,0.9999855,62.4793,0.8895,0.187401,131.898,475.448,0
static-all-ana-d0-r01-hold-hold,822,2555925689990360,0.975573,1,88,239.5256,179.5440,0.0303,0.1148,-0.00706,0.0366,1.0000376,62.4825,0.9553,0.187401,131.901,399.660,0
static-all-ana-d0-r01-hold-hold,823,2555925697552940,0.983135,1,88,238.5313,179.5218,-0.9640,0.0926,0.00714,0.0706,0.9999362,62.4762,0.9159,0.187401,131.900,491.330,0
static-all-ana-d0-r01-hold-hold,824,2555925705115520,0.990698,1,88,239.9735,179.4945,0.4782,0.0653,0.00054,0.0460,1.0000369,62.4824,0.9442,0.187401,131.891,500.945,0
static-all-ana-d0-r01-hold-hold,825,2555925712678100,0.998261,1,88,239.5176,179.6026,0.0223,0.1734,-0.03752,0.0623,1.0000181,62.4813,0.9251,0.187401,131.893,400.348,0
static-all-ana-d0-r01-hold-hold,826,2555925720240680,1.005823,1,88,238.5099,179.5401,-0.9855,0.1109,-0.01219,0.0729,0.9999764,62.4787,0.9130,0.187401,131.895,536.319,0
static-all-ana-d0-r01-hold-hold,827,2555925727803260,1.013386,1,88,240.4708,179.7631,0.9755,0.3339,-0.09463,0.1163,1.0001539,62.4898,0.8649,0.187401,131.904,394.514,0
static-all-ana-d0-r01-hold-hold,828,2555925735365840,1.020948,1,88,238.9883,179.4726,-0.5070,0.0434,-0.00517,0.0447,0.9999269,62.4755,0.9463,0.187401,131.906,373.573,0
static-all-ana-d0-r01-hold-hold,829,2555925742928420,1.028511,1,88,239.5112,179.5422,0.0159,0.1130,-0.01139,0.0323,1.0000102,62.4808,0.9605,0.187401,131.889,503.650,0
static-all-ana-d0-r01-hold-hold,830,2555925750491000,1.036074,1,88,239.5963,179.5032,0.1010,0.0740,-0.03970,0.0737,1.0001530,62.4897,0.9124,0.187401,131.898,509.060,0
